Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
B19,7,,,,3,4,,7,5.428571429,1724.152857,,,
B20,1 and 2,,,,,1,,1,5,1740.55,,,
B20,3a,,,3,7,13,,23,5.565217391,1718.924783,,,
B20,3b,,,,6,8,,14,5.428571429,1724.152857,,,
B20,4,,,,3,6,,9,5.333333333,1727.796667,,,
B20,5,,,,8,24,3,35,5.142857143,1735.084286,,,
B20,6,,,,3,25,,28,5.107142857,1736.450714,,,
B20,7,,,,11,14,,25,5.44,1723.7156,,,
B21,1,,,,,1,,1,5,1740.55,,,
B21,2,,,,,4,1,5,4.8,1748.202,,,
B21,3a,,,,6,6,,12,5.5,1721.42,,,
B21,4a,,,1,15,33,1,50,5.32,1728.3068,,,
B21,4b,,,1,4,4,,9,5.666666667,1715.043333,,,
B21,5,,,1,3,20,,24,5.208333333,1732.579167,,,
B21,6,,,,12,28,,40,5.3,1729.072,,,
B21,7,,,,9,8,1,18,5.444444444,1723.545556,,,
B22,1,,,,2,,,2,6,1702.29,,,
B22,2,,1,,,2,,3,6,1702.29,,,
B22,3,,,2,1,4,,7,5.714285714,1713.221429,,,
B22,4,,2,5,6,30,,43,5.511627907,1720.975116,Confusing transcription,,
B22,5,,,,4,8,1,13,5.230769231,1731.720769,,,
B22,6,,,,6,12,,18,5.333333333,1727.796667,,,
B22,7,,,,2,5,,7,5.285714286,1729.618571,,,
B23,1 and 6,,,,1,,,1,6,1702.29,,,
B23,1 and 2,,,,1,,,1,6,1702.29,,,
B23,3a,,,,3,5,,8,5.375,1726.2025,,,
B23,3b,,,,1,2,,3,5.333333333,1727.796667,,,
B23,4,,,,2,6,,8,5.25,1730.985,,,
B23,5,,,1,,6,,7,5.285714286,1729.618571,,,
B23,6,,,,,6,,6,5,1740.55,,,
B24,3a,,,,2,1,,3,5.666666667,1715.043333,,,
B24,3b,,,,1,5,,6,5.166666667,1734.173333,,,
B24,4,,,,,1,,1,5,1740.55,,,
B24,5,,,,1,1,,2,5.5,1721.42,,,
B24,6,,,,,3,,3,5,1740.55,,,
C,2,,,,1,9,1,11,5,1740.55,,,
C1,1,,,,2,4,1,7,5.142857143,1735.084286,,,
C1,2,,,,,8,,8,5,1740.55,,,
C2,2,,,1,1,8,1,11,5.181818182,1733.593636,,,
C3,2,,,,,1,,1,5,1740.55,,,
C4,1,,,,1,,,1,6,1702.29,,,
C4,2,,,,,1,,1,5,1740.55,,,
D,1,,,7,33,56,2,98,5.459183673,1722.981633,,,
D2,1,,,2,6,6,,14,5.714285714,1713.221429,,,
D2,2,,,,,1,,1,5,1740.55,,,
D2,3a,,,1,2,2,,5,5.8,1709.942,,,
D2,4,,,1,1,4,,6,5.5,1721.42,,,
D2,5,,,1,6,15,,22,5.363636364,1726.637273,,,
D2,REPEATED???,,,,,,,0,#DIV/0!,#DIV/0!,,,
D3,3a,,,,2,,,2,6,1702.29,,,
D3,4,,,,3,4,,7,5.428571429,1724.152857,,,
